"","Stud_ID","PROJ_TOTAL","Proj01","Proj02","Proj03","Proj04","Proj05","Proj06","Proj07","Proj08","Proj09","Proj10","Proj11","Total_Pts","Exam1","Exam2","Exam3","Prob_solve_pre","Prob_solve_post","extraversion","agreeableness","conscient.","stability","openness","Metacog.","SelfEfficacy","IntGoalOrient","ExtGoalOrient"
"174","08be8c8d7",435,13,14,20,40,45,44,50,49,54,51,55,889,64,130,160,1.83333333333333,0,36,NA,40,38,43,29,36,17,16
"175","b01be0e95",116,13,16,8,0,12,21,20,14,12,0,0,386,48,95,80,6.33333333333333,0,40,NA,39,NA,36,57,44,14,23
"176","5dbdb088e",438,15,19,17,40,45,44,50,48,54,52,54,802,68,90,111,NA,4.33333333333333,51,53,43,48,52,NA,NA,NA,NA
"177","e8752dcd9",138,11,17,9,36,15,7,19,8,16,0,0,334,60,70,66,0.666666666666667,5.66666666666667,40,40,40,40,40,30,40,12,24
"178","896e89ab3",365,10,18,11,35,22,44,40,50,55,40,40,695,40,95,100,8,4,44,63,58,39,61,60,56,19,28
"179","84aa34890",434,13,19,16,39,45,42,49,48,54,55,54,707,72,95,106,7.33333333333333,NA,NA,NA,NA,NA,NA,47,41,22,21
"180","dda8d4944",406,13,19,0,35,44,43,50,48,55,44,55,798,72,105,115,6.33333333333333,13,40,44,50,59,47,45,38,19,22
"181","81ce325f6",438,15,19,20,40,43,45,49,50,55,47,55,925,92,140,155,10,12.5,41,38,61,52,54,58,52,27,28
"182","5abdafcb5",247,0,17,10,19,45,19,37,14,51,9,26,619,72,95,110,17,15,29,44,35,29,56,41,38,19,25
"183","dcbc6d4c8",442,12,20,17,40,44,45,49,50,55,55,55,900,88,115,155,5,10.5,37,44,40,39,NA,38,33,17,21
"184","4344f39e4",391,13,20,11,16,28,42,48,50,55,54,54,727,68,100,68,6,2.33333333333333,43,47,34,45,35,20,16,8,8
"185","3a361953d",436,15,13,20,40,42,43,49,50,54,55,55,921,80,145,160,8,10,39,43,42,33,44,40,32,16,16
"186","48bc82ca1",415,15,17,18,34,41,38,50,47,55,47,53,847,68,120,145,14,21,39,49,41,20,45,42,51,26,26
"187","1f43b9f8d",440,15,20,20,36,44,43,50,50,52,55,55,845,84,130,110,13,7,47,64,47,66,51,43,36,18,13
"188","835411f46",158,15,20,19,35,45,17,7,0,0,0,0,578,72,130,121,13.3333333333333,15,33,51,56,50,52,41,47,20,21
"189","c883d6890",427,13,16,11,38,45,45,50,49,52,53,55,835,68,90,150,5.66666666666667,8,49,47,35,44,52,45,28,18,21
"190","25402dc3b",369,14,14,0,36,37,44,43,45,50,32,54,783,72,115,130,NA,4.33333333333333,40,43,44,39,39,NA,NA,NA,NA
"191","98dc4b58e",437,15,19,18,39,43,45,50,50,55,50,53,930,88,140,165,12,18,39,43,51,45,43,48,41,16,16
"192","23344c434",366,14,15,20,32,42,44,21,50,55,49,24,819,88,130,135,12,19,42,44,46,50,39,45,48,15,23
"193","486ea6d06",444,15,18,20,40,42,45,49,50,55,55,55,913,84,145,140,NA,12,21,57,54,47,33,NA,NA,NA,NA
"194","13603566d",436,14,18,20,40,45,45,49,50,55,45,55,860,88,130,106,19.5,16.6666666666667,40,52,50,46,49,35,55,25,23
"195","f56250cb8",419,13,20,0,40,41,45,50,47,55,53,55,854,80,105,150,5.33333333333333,12,28,61,62,55,62,62,50,21,9
"196","a75e94028",445,15,20,20,40,45,40,50,50,55,55,55,939,84,145,165,20.5,19.5,28,59,54,22,53,60,49,23,25
"197","de0c8085d",352,14,3,6,33,41,40,28,33,47,52,55,759,76,130,101,8,10,43,58,38,27,50,50,47,22,24
"198","76c4af435",429,14,20,20,40,43,45,50,48,52,42,55,922,88,125,180,7.5,13.3333333333333,36,55,54,46,45,43,46,16,18
