"Name","Position","Team","Air Yards","Targets","Expected Catches","Actual Catches","Average Depth of Target","Expected Catch Rate","Catch Rate","Expected rec Yds","Actual Rec Yds","Expected Rec TD","Actual Rec TDs","Actual PPR Points","Expected PPR Points","PPR Points +/-","Actual Half PPR Points","Expected Half PPR Points","Half PPR Points +/-","Yards after the Catch","YAC Per Catch","Actual DK","Expected DK","DK +/-","Actual FD","Expected FD","FD +/-","Expected Rush Yards","Expected Rush TD","Actual Rush F Points","Expected Rush F Points","Touches","Carries","Rush Yds","Rush TD"
"Isaiah McKenzie","WR","BUF","15","2","1.29","1","7.50","64.50%","0.50","15.60","1","0.05","0","1.10","3.17","-2.10","0.60","2.53","-1.90","2","2.00","1.60","4.01","-2.40","1.10","3.37","-2.30","7.87","0.01","0.50","0.84","4","2","5","0"
"Greg Ward","WR","PHI","15","1","0.32","1","15.00","32.40%","1.00","4.86","15","0.32","1","8.50","2.74","5.80","8.00","2.57","5.40","0","0.00","8.50","2.74","5.80","8.00","2.57","5.40","0.00","0.00","0.00","0.00","1","0","0","0"
"Devin Singletary","RB","BUF","14","10","7.37","6","1.40","73.74%","0.60","59.83","17","0.42","0","7.70","15.91","-8.20","4.70","12.22","-7.50","25","4.17","31.70","35.99","-4.30","28.70","32.30","-3.60","150.76","0.83","24.00","20.08","45","35","180","1"
"Albert Okwuegbunam","TE","DEN","14","8","6.22","8","1.75","77.70%","1.00","43.04","46","0.57","1","18.60","13.93","4.70","14.60","10.82","3.80","32","4.00","18.60","13.93","4.70","14.60","10.82","3.80","0.00","0.00","0.00","0.00","8","0","0","0"
"Jarvis Landry","WR","CLE","14","6","4.57","6","2.33","76.10%","1.00","39.32","93","0.02","0","15.30","8.60","6.70","12.30","6.32","6.00","66","11.00","22.60","11.15","11.40","19.60","8.87","10.70","5.69","0.33","7.30","2.55","8","2","13","1"
"Amari Rodgers","WR","GB","14","1","0.60","1","14.00","60.00%","1.00","10.56","19","0.00","0","2.90","1.66","1.20","2.40","1.36","1.00","5","5.00","2.90","1.66","1.20","2.40","1.36","1.00","0.00","0.00","0.00","0.00","1","0","0","0"
"Derrick Henry","RB","TEN","13","13","10.47","12","1.00","80.52%","0.92","81.80","105","0.12","0","22.50","19.34","3.20","16.50","14.11","2.40","96","8.00","75.80","69.86","5.90","69.80","64.62","5.20","338.30","2.78","53.30","50.52","93","80","353","3"
"Keith Smith","RB","ATL","13","4","3.09","3","3.25","77.33%","0.75","27.13","18","0.01","0","4.80","5.84","-1.00","3.30","4.29","-1.00","8","2.67","6.40","7.98","-1.60","4.90","6.43","-1.50","20.67","0.01","1.60","2.14","8","4","16","0"
"Jody Fortson","WR","KC","13","3","1.93","3","4.33","64.30%","1.00","14.73","18","0.51","1","10.80","6.47","4.30","9.30","5.50","3.80","5","1.67","10.80","6.47","4.30","9.30","5.50","3.80","0.00","0.00","0.00","0.00","3","0","0","0"
"Damiere Byrd","WR","NE","13","3","2.26","3","4.33","75.40%","1.00","23.13","19","0.03","0","4.90","4.74","0.20","3.40","3.60","-0.20","6","2.00","4.90","4.74","0.20","3.40","3.60","-0.20","0.00","0.00","0.00","0.00","3","0","0","0"
"Tyrell Williams","WR","DET","13","3","2.24","2","4.30","74.60%","0.67","19.70","14","0.06","0","3.40","4.56","-1.20","2.40","3.45","-1.00","8","4.00","3.40","4.56","-1.20","2.40","3.45","-1.00","0.00","0.00","0.00","0.00","3","0","0","0"
"Cody White","WR","PIT","13","2","1.48","2","6.50","73.95%","1.00","16.55","17","0.00","0","3.70","3.13","0.60","2.70","2.39","0.30","4","2.00","3.70","3.13","0.60","2.70","2.39","0.30","0.00","0.00","0.00","0.00","2","0","0","0"
"Chris Herndon","TE","NYJ","13","2","1.48","0","6.50","74.10%","0.00","15.63","0","0.01","0","0.00","3.12","-3.10","0.00","2.38","-2.40","0","","0.00","3.12","-3.10","0.00","2.38","-2.40","0.00","0.00","0.00","0.00","2","0","0","0"
"Racey McMath","WR","TEN","13","1","0.47","0","13.00","46.50%","0.00","6.94","0","0.24","0","0.00","2.60","-2.60","0.00","2.37","-2.40","0","","0.00","2.60","-2.60","0.00","2.37","-2.40","0.00","0.00","0.00","0.00","1","0","0","0"
"Cameron Batson","WR","TEN","13","1","0.66","1","13.00","66.30%","1.00","11.11","13","0.02","0","2.30","1.88","0.40","1.80","1.55","0.30","0","0.00","2.30","1.88","0.40","1.80","1.55","0.30","0.00","0.00","0.00","0.00","1","0","0","0"
"Christian McCaffrey","RB","CAR","12","17","13.60","16","0.71","79.99%","0.94","105.07","163","0.12","0","32.30","24.82","7.50","24.30","18.02","6.30","151","9.44","58.40","59.56","-1.20","50.40","52.76","-2.40","220.48","2.12","26.10","34.74","69","52","201","1"
"Willie Snead IV","WR","BAL","12","2","1.17","1","6.00","58.65%","0.50","10.43","14","0.42","0","2.40","4.75","-2.30","1.90","4.16","-2.30","7","7.00","2.40","4.75","-2.30","1.90","4.16","-2.30","0.00","0.00","0.00","0.00","2","0","0","0"
"Chase Edmonds","RB","ARI","11","17","13.63","16","0.65","80.19%","0.94","101.06","121","0.27","0","28.10","25.36","2.70","20.10","18.54","1.60","120","7.50","41.60","43.17","-1.60","33.60","36.36","-2.80","136.72","0.69","13.50","17.81","48","31","135","0"
"Jake Kumerow","WR","BUF","11","1","0.34","0","11.00","33.60%","0.00","3.70","0","0.33","0","0.00","2.70","-2.70","0.00","2.53","-2.50","0","","0.00","2.70","-2.70","0.00","2.53","-2.50","0.00","0.00","0.00","0.00","1","0","0","0"
"Alex Erickson","WR","CIN","11","1","0.66","1","11.00","66.30%","1.00","9.70","25","0.02","0","3.50","1.76","1.70","3.00","1.43","1.60","14","14.00","3.50","1.76","1.70","3.00","1.43","1.60","0.00","0.00","0.00","0.00","1","0","0","0"
"Ian Thomas","TE","CAR","10","4","2.76","2","2.50","69.00%","0.50","21.06","24","0.39","0","4.40","7.18","-2.80","3.40","5.80","-2.40","23","11.50","4.40","7.18","-2.80","3.40","5.80","-2.40","0.00","0.00","0.00","0.00","4","0","0","0"
"Patrick Ricard","RB","BAL","10","3","2.35","2","3.33","78.20%","0.67","20.09","15","0.01","0","3.50","4.41","-0.90","2.50","3.24","-0.70","6","3.00","3.70","4.86","-1.20","2.70","3.68","-1.00","3.76","0.01","0.20","0.45","4","1","2","0"
"Giovani Bernard","RB","CIN","9","15","11.89","13","0.60","79.24%","0.87","90.96","79","0.79","1","26.90","25.71","1.20","20.40","19.76","0.60","97","7.46","26.90","25.71","1.20","20.40","19.76","0.60","0.00","0.00","0.00","0.00","15","0","0","0"
"KhaDarel Hodge","WR","CLE","9","1","0.56","1","9.00","56.40%","1.00","6.17","9","0.22","0","1.90","2.50","-0.60","1.40","2.22","-0.80","0","0.00","1.90","2.50","-0.60","1.40","2.22","-0.80","0.00","0.00","0.00","0.00","1","0","0","0"
"Kendall Hinton","QB","DEN","9","1","0.66","1","9.00","65.70%","1.00","8.05","15","0.02","0","2.50","1.57","0.90","2.00","1.24","0.80","6","6.00","2.50","1.57","0.90","2.00","1.24","0.80","0.00","0.00","0.00","0.00","1","0","0","0"
